CustomerID,Recency,Frequency,Monetary
12347.0,1,181,4060.4
12348.0,74,30,1557.24
12349.0,18,72,1457.55
12350.0,309,17,334.4
12352.0,35,83,1849.49
12353.0,203,4,89.0
12354.0,231,58,1079.4
12355.0,213,13,459.4
12356.0,22,58,2487.43
12357.0,32,130,5970.07
12358.0,1,19,1168.06
12359.0,57,246,5792.58
12360.0,51,129,2662.06
12361.0,286,10,189.9
12362.0,2,266,5226.23
12363.0,109,23,552.0
12364.0,7,85,1313.1
12365.0,290,21,320.69
12367.0,3,11,168.9
12370.0,50,167,3545.69
12371.0,59,62,1527.96
12372.0,71,52,1298.04
12373.0,310,14,364.6
12374.0,24,33,742.9300000000001
12375.0,10,17,457.5
12377.0,314,77,1628.12
12378.0,129,219,4008.62
12379.0,81,40,852.24
12380.0,21,104,2724.81
12381.0,4,86,1605.31
12383.0,184,99,1850.56
12384.0,28,27,585.27
12386.0,337,10,401.9
12388.0,15,100,2780.66
12390.0,79,32,549.84
12391.0,21,100,460.89
12393.0,71,64,1582.6000000000001
12394.0,63,26,1006.24
12395.0,18,156,3018.63
12397.0,35,126,2409.9
12398.0,45,85,1635.6599999999999
12399.0,118,59,1108.65
12401.0,302,5,84.3
12402.0,322,11,225.6
12403.0,49,5,427.7
12405.0,148,53,1390.39
12406.0,21,105,3415.3
12407.0,49,77,1708.1200000000001
12408.0,32,105,2888.55
12409.0,78,101,9081.77
12410.0,308,26,693.3299999999999
12412.0,74,61,1226.88
12413.0,66,38,758.1
12414.0,216,18,562.41
12415.0,24,490,44496.07
12417.0,2,192,3649.1
12418.0,112,34,668.58
12420.0,63,29,600.39
12421.0,15,45,807.04
12422.0,95,39,803.5600000000001
12423.0,0,125,1859.31
12424.0,162,29,1454.96
12425.0,77,36,777.2
12426.0,194,30,582.73
12427.0,21,31,825.8
12428.0,25,292,7005.26
12429.0,8,97,3750.4
12430.0,42,11,256.4
12431.0,59,232,5259.61
12432.0,42,105,3884.12
12433.0,0,418,12968.83
12434.0,84,50,806.14
12435.0,79,19,2229.34
12436.0,99,16,509.01
12437.0,1,199,4951.41
12438.0,13,97,2586.85
12441.0,366,11,173.55
12442.0,2,12,172.06
12444.0,20,173,4165.46
12445.0,21,4,133.4
12446.0,57,57,1002.3100000000001
12447.0,242,26,476.49
12448.0,43,22,449.45
12449.0,21,191,4067.29
12450.0,155,8,197.88
12451.0,10,353,8790.72
12452.0,16,22,430.57
12453.0,133,43,707.09
12454.0,55,7,1009.0
12455.0,72,90,2466.86
12456.0,43,124,2901.04
12457.0,65,62,2363.23
12458.0,70,38,947.4
12461.0,93,35,826.88
12462.0,18,62,1189.59
12463.0,52,83,1344.78
12464.0,9,29,1212.05
12465.0,16,47,742.1899999999999
12468.0,187,38,729.5400000000001
12471.0,1,447,14320.45
12472.0,31,339,6572.11
12473.0,28,166,2965.15
12474.0,16,424,7375.79
12475.0,53,36,723.38
12476.0,15,233,6816.42
12477.0,22,293,11184.94
12478.0,3,36,680.99
12479.0,10,31,527.2
12480.0,27,153,2964.83
12481.0,22,217,5596.32
12483.0,16,75,2484.98
12484.0,32,346,4541.72
12488.0,9,55,1298.66
12489.0,335,15,334.93
12490.0,4,245,5417.93
12491.0,38,26,460.40000000000003
12492.0,62,20,263.21000000000004
12493.0,165,22,433.74
12494.0,15,77,1246.1000000000001
12497.0,81,14,1043.1
12498.0,20,23,403.70000000000005
12500.0,22,59,3328.54
12501.0,336,149,2169.39
12502.0,95,147,3723.87
12504.0,17,9,482.04999999999995
12506.0,232,23,73.5
12507.0,133,20,1096.01
12508.0,25,67,397.49
12509.0,283,7,176.5
12510.0,142,33,982.5699999999999
12512.0,65,34,138.03
12513.0,112,35,612.29
12514.0,266,51,1017.68
12515.0,352,16,383.7
12516.0,77,26,1312.06
12517.0,27,284,2502.84
12518.0,0,124,2056.89
12519.0,63,18,340.84
12520.0,78,152,2634.26
12521.0,142,38,599.68
12522.0,38,12,192.72
12523.0,18,106,1789.77
12524.0,8,144,4485.72
12526.0,0,71,1316.66
12527.0,81,18,348.71000000000004
12528.0,8,92,1933.48
12530.0,59,66,1662.28
12531.0,14,17,125.22
12532.0,29,16,349.83000000000004
12534.0,130,63,1089.18
12535.0,91,34,716.35
12536.0,58,259,4279.71
12538.0,28,21,363.95
