CustomerID,Recency,Frequency,Monetary,Cluster
12347.0,1,181,4060.4,0
12348.0,74,30,1557.24,0
12349.0,18,72,1457.55,0
12350.0,309,17,334.4,1
12352.0,35,83,1849.49,0
12353.0,203,4,89.0,1
12354.0,231,58,1079.4,1
12355.0,213,13,459.4,1
12356.0,22,58,2487.43,0
12357.0,32,130,5970.07,0
12358.0,1,19,1168.06,0
12359.0,57,246,5792.58,0
12360.0,51,129,2662.06,0
12361.0,286,10,189.9,1
12362.0,2,266,5226.23,0
12363.0,109,23,552.0,0
12364.0,7,85,1313.1,0
12365.0,290,21,320.69,1
12367.0,3,11,168.9,0
12370.0,50,167,3545.69,0
12371.0,59,62,1527.96,0
12372.0,71,52,1298.04,0
12373.0,310,14,364.6,1
12374.0,24,33,742.9300000000001,0
12375.0,10,17,457.5,0
12377.0,314,77,1628.12,1
12378.0,129,219,4008.62,0
12379.0,81,40,852.24,0
12380.0,21,104,2724.81,0
12381.0,4,86,1605.31,0
12383.0,184,99,1850.56,1
12384.0,28,27,585.27,0
12386.0,337,10,401.9,1
12388.0,15,100,2780.66,0
12390.0,79,32,549.84,0
12391.0,21,100,460.89,0
12393.0,71,64,1582.6000000000001,0
12394.0,63,26,1006.24,0
12395.0,18,156,3018.63,0
12397.0,35,126,2409.9,0
12398.0,45,85,1635.6599999999999,0
12399.0,118,59,1108.65,0
12401.0,302,5,84.3,1
12402.0,322,11,225.6,1
12403.0,49,5,427.7,0
12405.0,148,53,1390.39,1
12406.0,21,105,3415.3,0
12407.0,49,77,1708.1200000000001,0
12408.0,32,105,2888.55,0
12409.0,78,101,9081.77,0
12410.0,308,26,693.3299999999999,1
12412.0,74,61,1226.88,0
12413.0,66,38,758.1,0
12414.0,216,18,562.41,1
12415.0,24,490,44496.07,3
12417.0,2,192,3649.1,0
12418.0,112,34,668.58,0
12420.0,63,29,600.39,0
12421.0,15,45,807.04,0
12422.0,95,39,803.5600000000001,0
12423.0,0,125,1859.31,0
12424.0,162,29,1454.96,1
12425.0,77,36,777.2,0
12426.0,194,30,582.73,1
12427.0,21,31,825.8,0
12428.0,25,292,7005.26,0
12429.0,8,97,3750.4,0
12430.0,42,11,256.4,0
12431.0,59,232,5259.61,0
12432.0,42,105,3884.12,0
12433.0,0,418,12968.83,0
12434.0,84,50,806.14,0
12435.0,79,19,2229.34,0
12436.0,99,16,509.01,0
